bin1_start_0based	bin2_start_0based	observed_count
4803000	4803000	53
4803000	4804000	44
4804000	4804000	36
4803000	4805000	15
4804000	4805000	53
4805000	4805000	47
4803000	4806000	10
4804000	4806000	16
4805000	4806000	69
4806000	4806000	52
4803000	4807000	3
4804000	4807000	11
4805000	4807000	19
4806000	4807000	62
4807000	4807000	32
4803000	4808000	6
4804000	4808000	3
4805000	4808000	5
4806000	4808000	7
4807000	4808000	52
4808000	4808000	40
4803000	4809000	4
4804000	4809000	5
4805000	4809000	4
4806000	4809000	2
4807000	4809000	16
4808000	4809000	37
4809000	4809000	31
4803000	4810000	3
4804000	4810000	4
4805000	4810000	2
4806000	4810000	6
4807000	4810000	22
4808000	4810000	21
4809000	4810000	54
4810000	4810000	73
4803000	4811000	1
4805000	4811000	4
4806000	4811000	6
4807000	4811000	5
4808000	4811000	6
4809000	4811000	2
4810000	4811000	41
4811000	4811000	23
4804000	4812000	1
4805000	4812000	3
4806000	4812000	5
4807000	4812000	9
4808000	4812000	4
4809000	4812000	7
4810000	4812000	13
4811000	4812000	18
4812000	4812000	30
4804000	4813000	2
4805000	4813000	3
4806000	4813000	4
4807000	4813000	9
4808000	4813000	2
4809000	4813000	6
4810000	4813000	18
4811000	4813000	18
4812000	4813000	41
4813000	4813000	55
4803000	4814000	7
4804000	4814000	5
4805000	4814000	8
4806000	4814000	11
4807000	4814000	14
4808000	4814000	9
4809000	4814000	10
4810000	4814000	27
4811000	4814000	25
4812000	4814000	44
4813000	4814000	98
4814000	4814000	131
4804000	4815000	2
4805000	4815000	1
4806000	4815000	1
4807000	4815000	3
4808000	4815000	2
4809000	4815000	2
4810000	4815000	8
4811000	4815000	1
4812000	4815000	7
4813000	4815000	14
4814000	4815000	109
4815000	4815000	69
4803000	4816000	2
4804000	4816000	2
4805000	4816000	1
4806000	4816000	2
4807000	4816000	1
4808000	4816000	2
4809000	4816000	2
4810000	4816000	2
4811000	4816000	4
4812000	4816000	4
4813000	4816000	6
4814000	4816000	63
4815000	4816000	63
4816000	4816000	55
4804000	4817000	1
4806000	4817000	2
4807000	4817000	1
4809000	4817000	1
4810000	4817000	2
4811000	4817000	1
4812000	4817000	1
4813000	4817000	4
4814000	4817000	29
4815000	4817000	17
4816000	4817000	56
4817000	4817000	55
4803000	4818000	1
4805000	4818000	2
4806000	4818000	1
4807000	4818000	3
4808000	4818000	4
4810000	4818000	8
4811000	4818000	4
4812000	4818000	3
4814000	4818000	29
4815000	4818000	16
4816000	4818000	34
4817000	4818000	55
4818000	4818000	73
4803000	4819000	2
4805000	4819000	5
4806000	4819000	4
4807000	4819000	4
4808000	4819000	1
4809000	4819000	4
4810000	4819000	3
4811000	4819000	5
4812000	4819000	5
4813000	4819000	3
4814000	4819000	34
4815000	4819000	20
4816000	4819000	23
4817000	4819000	25
4818000	4819000	112
4819000	4819000	122
4803000	4820000	2
4804000	4820000	1
4805000	4820000	1
4808000	4820000	2
4809000	4820000	1
4810000	4820000	2
4811000	4820000	1
4813000	4820000	1
4814000	4820000	19
4815000	4820000	9
4816000	4820000	5
4817000	4820000	15
4818000	4820000	36
4819000	4820000	102
4820000	4820000	53
4806000	4821000	1
4808000	4821000	1
4810000	4821000	2
4812000	4821000	1
4813000	4821000	1
4814000	4821000	7
4815000	4821000	7
4816000	4821000	2
4817000	4821000	1
4818000	4821000	11
4819000	4821000	29
4820000	4821000	49
4821000	4821000	16
4805000	4822000	1
4813000	4822000	2
4814000	4822000	5
4815000	4822000	4
4816000	4822000	5
4817000	4822000	6
4818000	4822000	8
4819000	4822000	28
4820000	4822000	22
4821000	4822000	28
4822000	4822000	38
4814000	4823000	2
4815000	4823000	3
4817000	4823000	3
4818000	4823000	2
4819000	4823000	10
4820000	4823000	7
4821000	4823000	6
4822000	4823000	31
4823000	4823000	27
4804000	4824000	1
4805000	4824000	2
4806000	4824000	1
4807000	4824000	1
4808000	4824000	1
4809000	4824000	2
4811000	4824000	2
4814000	4824000	9
4815000	4824000	3
4816000	4824000	1
4817000	4824000	4
4818000	4824000	12
4819000	4824000	21
4820000	4824000	15
4821000	4824000	8
4822000	4824000	29
4823000	4824000	36
4824000	4824000	74
4803000	4825000	1
4804000	4825000	2
4805000	4825000	5
4806000	4825000	3
4807000	4825000	5
4808000	4825000	1
4809000	4825000	2
4810000	4825000	2
4812000	4825000	1
4813000	4825000	3
4814000	4825000	18
4815000	4825000	13
4816000	4825000	3
4817000	4825000	10
4818000	4825000	15
4819000	4825000	30
4820000	4825000	20
4821000	4825000	15
4822000	4825000	28
4823000	4825000	33
4824000	4825000	117
4825000	4825000	107
4804000	4826000	1
4805000	4826000	2
4807000	4826000	3
4809000	4826000	2
4811000	4826000	1
4812000	4826000	1
4814000	4826000	15
4815000	4826000	5
4816000	4826000	2
4817000	4826000	3
4818000	4826000	6
4819000	4826000	16
4820000	4826000	12
4821000	4826000	2
4822000	4826000	11
4823000	4826000	8
4824000	4826000	38
4825000	4826000	103
4826000	4826000	87
4803000	4827000	1
4804000	4827000	1
